Image and Tag Name,Number of unique CVEs,Low CVEs,Medium CVEs,High CVEs,Critical CVEs,Unassigned CVEs,Differing CVEs,Number of Pulls,Number of Repo Stars,Category,SubCategories,Size
python:3.13.0b2-bookworm,990,200,653,50,2,11,74,7486837220,9645,Official,languages-and-frameworks,382306223
ruby:alpine,5,0,4,0,0,0,1,1257870500,2327,Official,languages-and-frameworks,44066472
ibm-semeru-runtimes:open-8u412-b08-jre,24,19,5,0,0,0,0,5304221,45,Official,languages-and-frameworks,97338124
eclipse-temurin:8u412-b08-jre-ubi9-minimal,109,57,44,3,0,0,5,134237929,550,Official,languages-and-frameworks,107899130
redmine:alpine3.20,100,5,54,22,6,11,2,68014881,1201,Official,content-management-system,186043966
phpmyadmin:5.2.1,893,132,668,54,3,8,28,64507723,991,Official,databases-and-storage,193914360
fluentd:v1.16.0-debian-1.0,1233,119,930,120,2,24,38,11490508,194,Official,monitoring-and-observability,101794722
php:zts-alpine,7,0,5,1,0,0,1,1170207867,7539,Official,languages-and-frameworks,40928121
nginx:stable-alpine3.19-otel,19,3,9,1,0,6,0,11208853412,19918,Official,web-servers,24558509
bonita:9.0,67,7,17,17,9,10,7,12588716,184,Official,languages-and-frameworks,191493413
amazonlinux:2.0.20240529.0,4,0,0,0,0,4,0,862747637,1412,Official,operating-systems,62646348
kong:ubuntu,25,17,8,0,0,0,0,323935838,781,Official,api-management,98167820
alpine:3.20.0,3,0,2,0,0,0,1,10501216760,10883,Official,operating-systems,3622094
ubuntu:noble-20240530,9,7,2,0,0,0,0,9203767586,17105,Official,operating-systems,28872332
couchdb:3.1.2,201,68,1,3,1,89,39,189385990,565,Official,databases-and-storage,79794261
neurodebian:nd22.04,20,16,4,0,0,0,0,9904676,109,Official,data-science,33268509
composer:2.3.10,14,1,6,5,0,1,1,154282208,1066,Official,developer-tools,68160242
adminer:4.8.1,95,55,0,0,2,0,38,371422611,913,Official,databases-and-storage,95980882
joomla:4-php8.1-fpm-alpine,106,2,60,34,6,4,0,83060808,442,Official,content-management-system,91726283
joomla:4.4.5-php8.2-fpm-alpine,106,2,60,34,6,4,0,83060808,442,Official,content-management-system,92307518
arangodb:3.11.9,41,3,12,14,2,9,1,36479732,289,Official,databases-and-storage,252179402
plone:python38,1084,197,572,123,20,97,75,6625827,96,Official,content-management-system,269009600
couchbase:enterprise-7.2.5,181,33,88,37,4,11,8,86459240,917,Official,databases-and-storage,644222558
lightstreamer:7.4.2-jdk21-temurin,32,23,9,0,0,0,0,5776774,90,Official,message-queues,269835483
consul:1.15,71,8,30,7,4,14,8,1033856217,1438,Official,,58891952
php-zendserver:2019.0,244,58,169,11,0,6,0,4268448,212,Official,languages-and-frameworks,488914072
haxe:4.1.5-alpine3.17,58,2,19,4,0,33,0,24637216,62,Official,languages-and-frameworks,2210314330
storm:2.6-jre17,316,20,58,116,28,61,33,8958378,195,Official,data-science,563251262
bonita:2023.2-u0,67,7,17,17,9,10,7,12588716,184,Official,languages-and-frameworks,191493413
dart:beta,89,56,0,1,2,0,30,2141623,140,Official,languages-and-frameworks,302242251
aerospike:ce-7.1.0.1,20,16,4,0,0,0,0,17906309,144,Official,databases-and-storage,78685761
bash:devel-20240603,3,0,2,0,0,0,1,423900514,630,Official,developer-tools,6516833
sonarqube:lts-developer,118,21,25,24,4,40,4,1067315424,2397,Official,integration-and-delivery,486846942
zookeeper:3.8.4-jre-17,80,17,6,0,0,57,0,300045094,1430,Official,databases-and-storage,109652240
mediawiki:lts-fpm,953,168,661,52,2,11,59,44889121,548,Official,content-management-system,288149777
tomcat:jre21,22,17,5,0,0,0,0,760711845,3671,Official,web-servers,110119211
oraclelinux:8,191,0,19,10,0,161,1,35471002,1056,Official,operating-systems,100715124
storm:2.6,316,20,57,116,28,62,33,8958378,195,Official,data-science,563181240
photon:4.0,4,0,4,0,0,0,0,17097756,195,Official,operating-systems,16179558
r-base:4.4.0,70,64,2,1,0,1,2,9998503,539,Official,languages-and-frameworks,353715693
neo4j:enterprise-ubi9,1546,309,854,30,0,12,341,278348653,1225,Official,databases-and-storage,539090926
postgres:alpine3.20,3,0,2,0,0,0,1,8731561121,13472,Official,databases-and-storage,95742094
sl:6,864,493,341,26,1,3,0,602118,55,Official,operating-systems,49500651
notary:server-0.7.0,86,4,23,32,4,14,9,6566455,74,Official,security,7957803
php:fpm-alpine3.20,8,0,6,1,0,0,1,1170207867,7539,Official,languages-and-frameworks,32519941
rust:1.78.0-alpine,3,0,2,0,0,0,1,84541863,982,Official,languages-and-frameworks,276828594
oraclelinux:8.10,191,0,19,10,0,161,1,35471002,1056,Official,operating-systems,100715124
postgres:17beta1-bullseye,154,64,11,32,6,0,41,8731561121,13472,Official,databases-and-storage,145990062
geonetwork:4.4,235,34,89,59,9,17,27,5238687,83,Official,data-science,488318911
r-base:4.3.0,1531,189,1102,160,9,6,65,9998503,539,Official,languages-and-frameworks,336631108
rocket.chat:6.5.5,318,62,76,77,16,58,29,73999845,808,Official,,375045986
mediawiki:stable,961,177,660,52,2,11,59,44889121,548,Official,content-management-system,350034931
node:21.7-alpine,5,1,4,0,0,0,0,5155852497,13487,Official,languages-and-frameworks,48944260
rakudo-star:alpine,3,1,2,0,0,0,0,2482434,60,Official,languages-and-frameworks,47345920
kapacitor:1.7,29,20,6,2,0,1,0,58444032,261,Official,monitoring-and-observability,145267869
emqx:5.7.0,63,39,0,1,1,0,22,1879708,81,Official,message-queues,125874711
telegraf:alpine,7,1,5,0,0,0,1,595630842,665,Official,monitoring-and-observability,68608895
neurodebian:jammy-non-free,20,16,4,0,0,0,0,9904676,109,Official,data-science,33268702
convertigo:8.2.4,149,33,37,1,1,74,3,4249049,55,Official,languages-and-frameworks,306796225
websphere-liberty:full-java11-openj9,24,19,5,0,0,0,0,23727085,299,Official,web-servers,485175858
mageia:7,614,280,290,9,9,26,0,1624131,44,Official,operating-systems,101790982
redis:7.0-alpine,61,4,13,32,5,0,7,8755331519,12849,Official,databases-and-storage,13531684
yourls:fpm,868,120,661,51,1,8,27,21258156,288,Official,content-management-system,178931120
rethinkdb:2.4-bookworm-slim,67,41,0,1,1,0,24,75433872,628,Official,databases-and-storage,48739244
mediawiki:lts-fpm-alpine,79,1,49,21,6,1,1,44889121,548,Official,content-management-system,118135404
yourls:1.9.2-apache,1007,131,766,55,1,26,28,21258156,288,Official,content-management-system,182903001
julia:bullseye,89,52,2,2,2,0,31,14927502,333,Official,languages-and-frameworks,209880083
wordpress:php8.3-fpm,930,161,657,49,1,8,54,1377387086,5587,Official,content-management-system,237576902
perl:devel-threaded-bullseye,882,251,472,44,3,17,95,238455902,460,Official,languages-and-frameworks,338441270
maven:ibmjava,48,29,13,5,1,0,0,659120407,1573,Official,languages-and-frameworks,215467372
notary:signer-0.6.1-2,100,2,27,44,7,20,0,6566455,74,Official,security,7690976
eclipse-mosquitto:2.0.18-openssl,7,1,4,0,0,1,1,615175958,1249,Official,message-queues,4140414
convertigo:8.2,112,25,11,0,1,74,1,4249049,55,Official,languages-and-frameworks,313942497
yourls:1.9.2-fpm,996,120,767,55,1,26,27,21258156,288,Official,content-management-system,178931120
mariadb:lts-ubi,153,39,52,35,5,8,14,2772489085,5770,Official,databases-and-storage,145460246
dart:sdk,89,56,0,1,2,0,30,2141623,140,Official,languages-and-frameworks,322154188
silverpeas:6.3.4,516,50,184,148,72,28,34,1881618,45,Official,content-management-system,1777168108
lightstreamer:7.4.2-jdk8-temurin,28,19,9,0,0,0,0,5776774,90,Official,message-queues,210371069
dart:stable,89,56,0,1,2,0,30,2141623,140,Official,languages-and-frameworks,322154188
satosa:8.4-bookworm,67,38,0,2,1,2,24,298348,12,Official,api-management,90200554
logstash:8.13.4,53,24,16,3,1,2,7,193145622,2197,Official,monitoring-and-observability,486591032
clojure:tools-deps-bullseye-slim,143,80,2,2,3,3,53,36613901,358,Official,languages-and-frameworks,248352308
php:zts-alpine3.20,7,0,5,1,0,0,1,1170207867,7539,Official,languages-and-frameworks,40928121
clojure:tools-deps-bullseye,143,80,2,2,3,3,53,36613901,358,Official,languages-and-frameworks,282413944
backdrop:apache,882,133,661,50,1,9,28,6975022,114,Official,content-management-system,191673899
caddy:alpine,5,2,2,0,0,0,1,626004008,744,Official,web-servers,18625879
bash:devel,3,0,2,0,0,0,1,423900514,630,Official,developer-tools,6516833
golang:1.23rc1-bookworm,1017,131,784,56,2,4,40,2169767338,4871,Official,languages-and-frameworks,226429744
open-liberty:kernel-slim-java17-openj9,26,19,6,0,0,1,0,12934678,65,Official,web-servers,116778815
joomla:4-php8.2-fpm-alpine,106,2,60,34,6,4,0,83060808,442,Official,content-management-system,92307518
solr:9.6.1,134,23,29,16,1,58,7,314646205,985,Official,databases-and-storage,374862737
liquibase:4.28-alpine,28,10,6,3,0,1,8,4250,0,Official,developer-tools,180128000
fedora:rawhide,1,0,0,0,0,1,0,119427901,1205,Official,operating-systems,79955811
spark:3.5.1-scala2.12-java17-ubuntu,232,26,36,38,3,115,14,265294,54,Official,data-science,439982048
rockylinux:9.3-minimal,61,26,19,2,0,5,9,32812715,239,Official,operating-systems,46545847
php:cli-alpine3.20,7,0,5,1,0,0,1,1170207867,7539,Official,languages-and-frameworks,36625805
irssi:1.4.5-alpine,3,0,2,0,0,0,1,8216587,172,Official,,19724252
adminer:standalone,95,55,0,0,2,0,38,371422611,913,Official,databases-and-storage,95980882
rethinkdb:2.4.4-bookworm-slim,67,41,0,1,1,0,24,75433872,628,Official,databases-and-storage,48739244
teamspeak:3.13.5,71,2,18,28,6,17,0,134294977,536,Official,,13481531
gazebo:gzserver11-focal,323,91,232,0,0,0,0,4441653,140,Official,languages-and-frameworks,313399073
influxdb:alpine,40,5,16,8,4,0,7,1038316305,1871,Official,databases-and-storage,89831672
almalinux:9.4,167,131,17,2,0,16,1,6614527,162,Official,operating-systems,68578181
neurodebian:nd22.04-non-free,20,16,4,0,0,0,0,9904676,109,Official,data-science,33268702
liquibase:4.28,40,22,8,3,0,1,6,4250,0,Official,developer-tools,205056107
open-liberty:kernel-slim-java8-openj9,26,19,6,0,0,1,0,12934678,65,Official,web-servers,114756318
rabbitmq:3.13-management,77,16,5,0,0,56,0,3483391282,5074,Official,message-queues,114955431
consul:1.15.4,71,8,30,7,4,14,8,1033856217,1438,Official,,58891952
docker:27.0.2-alpine3.20,3,1,0,1,0,1,0,2980899991,2600,Official,developer-tools,2238079428
kong:3.7-ubuntu,25,17,8,0,0,0,0,323935838,781,Official,api-management,98167820
mariadb:lts-ubi9,153,39,51,35,5,9,14,2772489085,5770,Official,databases-and-storage,145460246
arangodb:3.10.14,63,4,24,15,2,17,1,36479732,289,Official,databases-and-storage,225214451
kibana:7.17.21,37,19,8,8,0,2,0,193923653,2727,Official,monitoring-and-observability,360365633
gazebo:libgazebo11-bionic,584,161,406,12,2,3,0,4441653,140,Official,languages-and-frameworks,547331363
eggdrop:1.9.5,14,1,2,0,0,11,0,2809332,79,Official,,11727510
r-base:4.3.3,78,68,4,1,0,1,4,9998503,539,Official,languages-and-frameworks,366733119
monica:5.0.0-beta-fpm,898,126,668,60,2,8,34,11294526,191,Official,content-management-system,203738374
monica:5.0.0-beta.4-apache,909,137,667,60,2,8,35,11294526,191,Official,content-management-system,207789644
orientdb:3.1.20-tp3,156,21,25,84,10,3,13,15159809,183,Official,databases-and-storage,223035810
mongo:5.0,79,20,16,32,5,0,6,4358857033,10260,Official,databases-and-storage,270121688
fedora:39,2,0,0,0,0,2,0,119427901,1205,Official,operating-systems,64660672
irssi:1.4-alpine3.20,3,0,2,0,0,0,1,8216587,172,Official,,19724252
chronograf:1.8.10,251,68,46,74,12,15,36,154620069,361,Official,monitoring-and-observability,70843298
ibmjava:sdk,49,29,14,5,1,0,0,13103034,126,Official,languages-and-frameworks,204121128
ubuntu:noble,9,7,2,0,0,0,0,9203767586,17105,Official,operating-systems,28872332
hylang:python3.11-alpine3.20,6,1,2,1,0,1,1,25370750,60,Official,languages-and-frameworks,26085424
rockylinux:9.3,194,138,31,4,0,11,10,32812715,239,Official,operating-systems,64310806
ruby:slim-bullseye,670,114,472,41,1,15,27,1257870500,2327,Official,languages-and-frameworks,77448661
xwiki:stable-mariadb-tomcat,59,29,14,2,1,12,1,32337763,299,Official,content-management-system,576569930
nginx:stable-alpine3.19-perl,19,3,9,1,0,6,0,11208853412,19918,Official,web-servers,30072968
haproxy:alpine,5,0,4,0,0,0,1,1018057305,1921,Official,web-servers,13117227
hitch:1.7.3-1,86,44,4,1,1,0,36,434753,24,Official,web-servers,33043651
adminer:4.8.1-fastcgi,95,55,0,0,2,0,38,371422611,913,Official,databases-and-storage,95983580
friendica:dev-fpm,902,224,483,103,10,7,75,4852186,86,Official,,214129770
archlinux:multilib-devel,11,0,6,2,0,3,0,26344871,565,Official,operating-systems,316042474
almalinux:minimal,32,17,8,0,0,7,0,6614527,162,Official,operating-systems,34395730
api-firewall:0.7.3,7,2,4,0,0,1,0,37480,50,Official,api-management,14398551
solr:9.6-slim,81,17,7,0,0,57,0,314646205,985,Official,databases-and-storage,156921034
websphere-liberty:full-java17-openj9,24,19,5,0,0,0,0,23727085,299,Official,web-servers,485530318
buildpack-deps:mantic-scm,17,11,6,0,0,0,0,233190199,669,Official,developer-tools,82727335
haproxy:alpine3.20,5,0,4,0,0,0,1,1018057305,1921,Official,web-servers,13117227
fedora:41,1,0,0,0,0,1,0,119427901,1205,Official,operating-systems,79955811
node:21.7.3-alpine,5,1,4,0,0,0,0,5155852497,13487,Official,languages-and-frameworks,48944260
gradle:jdk-lts-and-current-alpine,33,6,14,2,0,8,3,239587983,575,Official,developer-tools,505148693
hylang:python3.12-alpine3.20,3,0,2,1,0,0,0,25370750,60,Official,languages-and-frameworks,24228056
arangodb:3.12,37,3,10,14,2,7,1,36479732,289,Official,databases-and-storage,302152478
mysql:lts-oraclelinux9,134,4,35,44,5,40,6,4305301781,15137,Official,databases-and-storage,168700380
rabbitmq:3.13.3-management,77,16,5,0,0,56,0,3483391282,5074,Official,message-queues,114955431
amazoncorretto:8u412-al2023,5,0,2,0,0,3,0,85693617,397,Official,languages-and-frameworks,330625644
python:3.13.0b2-slim,56,35,0,2,1,0,18,7486837220,9645,Official,languages-and-frameworks,46553064
arangodb:3.11,41,3,12,14,2,9,1,36479732,289,Official,databases-and-storage,252179402
tomcat:jre17-temurin,22,17,5,0,0,0,0,760711845,3671,Official,web-servers,103902593
archlinux:base-devel,11,0,6,2,0,3,0,26344871,565,Official,operating-systems,266238966
haxe:4.3.4,160,85,3,2,3,3,64,24637216,62,Official,languages-and-frameworks,140094044
oraclelinux:9-slim-fips,33,0,0,0,0,33,0,35471002,1056,Official,operating-systems,49009530
vault:1.11.11,74,6,34,15,3,3,13,538553366,1112,Official,security,81823040
julia:1.10.4-bullseye,89,52,2,2,2,0,31,14927502,333,Official,languages-and-frameworks,209880083
fluentd:v1.16.2-1.1,18,5,5,1,0,7,0,11490508,194,Official,monitoring-and-observability,25125598
satosa:8.4.0,67,38,0,2,1,2,24,298348,12,Official,api-management,90200554
groovy:jdk21-jammy,27,21,6,0,0,0,0,76788228,151,Official,languages-and-frameworks,239727074
eclipse-temurin:8-ubi9-minimal,109,57,44,3,0,0,5,134237929,550,Official,languages-and-frameworks,169625649
httpd:2.4.59-alpine,8,0,4,3,0,0,1,4484298523,4727,Official,web-servers,19580381
kibana:8.13.3,47,19,14,10,2,2,0,193923653,2727,Official,monitoring-and-observability,375497431
rethinkdb:2.4.3,67,41,0,1,1,0,24,75433872,628,Official,databases-and-storage,48739244
telegraf:1.30.3,73,42,2,1,1,2,25,595630842,665,Official,monitoring-and-observability,155343333
oraclelinux:8-slim-fips,79,0,9,7,0,63,0,35471002,1056,Official,operating-systems,51225894
couchdb:3.3.3,95,56,2,2,2,0,33,189385990,565,Official,databases-and-storage,89655707
debian:unstable,27,25,0,0,0,0,2,1268879068,5020,Official,operating-systems,52642894
ubuntu:oracular,0,0,0,0,0,0,0,9203767586,17105,Official,operating-systems,29771141
postfixadmin:3.3.13-apache,1036,139,772,64,5,26,30,5231400,193,Official,developer-tools,181532337
bash:4.0.44-alpine3.20,7,0,3,3,0,0,1,423900514,630,Official,developer-tools,5360895
drupal:7.101-php8.2-fpm-bookworm,975,122,768,54,1,3,27,193290007,1037,Official,content-management-system,179115774
openjdk:23-jdk-oraclelinux8,142,0,19,9,0,114,0,2479898199,3919,Official,,277896406
debian:unstable-20240513-slim,27,25,0,0,0,0,2,1268879068,5020,Official,operating-systems,31923017
nginx:mainline-alpine3.19-perl,19,3,9,1,0,6,0,11208853412,19918,Official,web-servers,30073044
ibmjava:8-sdk,49,29,14,5,1,0,0,13103034,126,Official,languages-and-frameworks,204121128
hylang:python3.8-alpine3.20,11,1,5,4,0,0,1,25370750,60,Official,languages-and-frameworks,22055929
julia:1.10.4,62,38,0,1,1,0,22,14927502,333,Official,languages-and-frameworks,210887618
maven:amazoncorretto,0,0,0,0,0,0,0,659120407,1573,Official,languages-and-frameworks,363012813
kong:3.7.0,25,17,8,0,0,0,0,323935838,781,Official,api-management,98167820
backdrop:fpm,871,122,662,50,1,9,27,6975022,114,Official,content-management-system,187710662
sapmachine:ubuntu-jammy,25,20,5,0,0,0,0,22340852,49,Official,languages-and-frameworks,243854117
rabbitmq:management,77,16,5,0,0,56,0,3483391282,5074,Official,message-queues,114955431
aerospike:ee-7.1.0.2,24,19,5,0,0,0,0,17906309,144,Official,databases-and-storage,78685761
kibana:8.13.4,43,19,10,10,2,2,0,193923653,2727,Official,monitoring-and-observability,375494243
python:3.13.0b2-slim-bullseye,82,50,0,1,1,0,30,7486837220,9645,Official,languages-and-frameworks,46528790
lightstreamer:7.4.2-jdk21,32,23,9,0,0,0,0,5776774,90,Official,message-queues,269835483
kong:3.7.0-ubuntu,25,17,8,0,0,0,0,323935838,781,Official,api-management,98167820
influxdb:2.7.6-alpine,40,5,16,8,4,0,7,1038316305,1871,Official,databases-and-storage,89831672
couchdb:3.3,95,56,2,2,2,0,33,189385990,565,Official,databases-and-storage,89655707
memcached:1.6.28-alpine3.20,3,1,2,0,0,0,0,11135890128,2175,Official,databases-and-storage,4681905
amazoncorretto:8u412-al2023-jre,5,0,2,0,0,3,0,85693617,397,Official,languages-and-frameworks,330625644
buildpack-deps:noble-curl,13,9,4,0,0,0,0,233190199,669,Official,developer-tools,44175799
