Image and Tag Name,Number of unique CVEs,Low CVEs,Medium CVEs,High CVEs,Critical CVEs,Unassigned CVEs,Differing CVEs,Number of Pulls,Number of Repo Stars,Category,SubCategories,Size
photoprism/photoprism:ubuntu,733,123,518,9,0,82,1,44324507,371,sponsored,content-management-system/machine-learning-and-ai/web-servers,849987236
linuxserver/code-server:version-4.89.1,105,28,16,41,6,13,1,63409434,639,sponsored,languages-and-frameworks/integration-and-delivery/security,186510105
jupyter/all-spark-notebook:x86_64-r-4.3.1,885,175,539,86,6,65,14,74501327,435,sponsored,data-science/languages-and-frameworks/machine-learning-and-ai,2150179520
linuxserver/ddclient:v3.11.2-ls161,13,3,6,1,0,3,0,80100071,171,sponsored,integration-and-delivery/internet-of-things/networking,25233797
apache/airflow:slim-2.9.2rc1-python3.9,111,55,7,11,1,1,36,1286219445,521,sponsored,data-science/integration-and-delivery/machine-learning-and-ai,223097557
cloudnativelabs/kube-router:v1.6.1,74,8,26,19,5,7,9,150802753,12,sponsored,networking/security,49612096
nodered/node-red-docker:v8,1960,490,535,420,68,308,139,94166845,363,sponsored,,365424683
linuxserver/tvheadend:arm64v8-latest,37,4,10,4,2,17,0,82769936,276,sponsored,,266196265
linuxserver/couchpotato:arm64v8-version-7260c12f,98,5,34,45,10,4,0,149181576,390,sponsored,,28107626
jenkins/ssh-agent:latest-debian-jdk21,117,68,6,10,6,0,27,57752344,53,sponsored,integration-and-delivery/security,173944548
istio/pilot:1.20.7,41,22,17,1,1,0,0,11452805606,15,sponsored,monitoring-and-observability/networking/security,243
openebs/zfs-driver:policy1-ci,98,39,42,8,3,0,6,65502345,3,sponsored,,92634173
nicolargo/glances:4.0.7-full,15,4,4,0,0,7,0,78950859,178,sponsored,monitoring-and-observability/networking,84295574
moby/buildkit:v0.14.0-rc1-rootless,48,5,21,11,3,0,8,423269407,57,sponsored,,98874362
linuxserver/airsonic:10.6.2,751,197,422,72,15,11,34,68744500,109,sponsored,,283562313
paketobuildpacks/build:1.3.176-full-cnb,581,192,320,50,12,1,6,69622980,35,sponsored,languages-and-frameworks/integration-and-delivery/security,400480058
fluent/fluentd:v1.17.0-debian-armhf-1.0,54,33,12,2,1,2,4,138951893,362,sponsored,,82539581
linuxserver/jellyfin:version-10.9.6ubu2204,44,32,9,2,0,1,0,139774537,700,sponsored,content-management-system/web-servers,305354684
photoprism/photoprism:preview,733,123,518,9,0,82,1,44324507,371,sponsored,content-management-system/machine-learning-and-ai/web-servers,849987632
openpolicyagent/gatekeeper:0736dc0,5,3,2,0,0,0,0,3037069850,3,sponsored,,41718073
linuxserver/rutorrent:arm64v8-version-v3.10,277,12,100,117,43,4,1,153555666,179,sponsored,,78410868
linuxserver/sickrage:arm64v8-86207e9e-ls9,481,23,198,197,46,15,2,41272524,144,sponsored,,118231660
paketobuildpacks/build:1.3.177-full,581,192,320,50,12,1,6,69622980,35,sponsored,languages-and-frameworks/integration-and-delivery/security,400548581
linuxserver/hydra:arm32v7-version-0.2.233,377,18,165,144,34,15,1,104862964,107,sponsored,,59543359
linuxserver/tautulli:develop-version-a3af8ed3,25,6,10,3,0,5,1,977374373,421,sponsored,monitoring-and-observability/web-analytics,70671075
shadowsocks/shadowsocks-libev:v3.3.5,104,2,18,22,7,55,0,43317728,484,sponsored,,8332001
certbot/certbot:arm64v8-latest,15,3,7,1,0,4,0,301204194,618,sponsored,security/web-servers,42906764
