Image and Tag Name,Number of unique CVEs,Low CVEs,Medium CVEs,High CVEs,Critical CVEs,Unassigned CVEs,Differing CVEs,Number of Pulls,Number of Repo Stars,Category,SubCategories,Size
bitnami/zookeeper:3.9.2-debian-12-r7,69,41,0,1,1,1,25,307105601,119,verified,integration-and-delivery/networking/security,302646544
opensearchproject/opensearch:2.14.0,19,3,7,2,0,6,1,73185584,109,verified,databases-and-storage/machine-learning-and-ai/monitoring-and-observability,948092932
newrelic/php-daemon:10.19.0,57,4,12,10,2,23,6,135749196,7,verified,,12322936
circleci/postgres:9.6-stretch-postgis-ram,709,174,67,130,20,250,68,501165403,32,verified,,116532404
bitnami/node-exporter:1.8.1-debian-12-r0,52,33,1,1,2,0,15,75320565,20,verified,integration-and-delivery/monitoring-and-observability/security,7967
rancher/rancher-agent:v2.9-head,45,6,11,6,0,16,6,3197776140,53,verified,,534211324
bitnami/prometheus:2-debian-12,56,34,5,1,1,0,15,52920530,217,verified,integration-and-delivery/monitoring-and-observability/security,99713161
hashicorp/http-echo:1.0,16,3,2,5,0,0,6,75875987,70,verified,monitoring-and-observability/networking/web-servers,4625474
bitnami/ghost:5.86.2,182,56,38,38,7,8,35,125177863,39,verified,content-management-system/security/web-servers,7967
bitnami/kafka:3.3.2,95,43,16,7,2,2,25,290524245,865,verified,integration-and-delivery/message-queues/monitoring-and-observability,372246071
grafana/mimir:r293-616d3ed,6,3,3,0,0,0,0,182536995,11,verified,databases-and-storage/integration-and-delivery/monitoring-and-observability,25442464
docker/ecs-searchdomain-sidecar:1.0,84,1,23,43,3,14,0,255747995,1,verified,integration-and-delivery/monitoring-and-observability/networking,582732
hashicorp/vault:1.16,31,6,18,4,0,1,2,106481235,143,verified,api-management/security,137010077
netdata/netdata:stable,135,73,3,1,1,4,53,467165995,535,verified,monitoring-and-observability/security,190844340
rancher/rancher:v2.9-c8097db7b89900f9cbd11fd3178094a27e8ea071-linux-arm64,183,14,69,70,7,16,7,283166464,421,verified,integration-and-delivery/monitoring-and-observability/security,806899046
amazon/aws-xray-daemon:3.x,22,4,8,6,0,3,1,1180111609,34,verified,monitoring-and-observability,56482879
bitnami/phpmyadmin:5.2.1,164,86,15,10,3,1,49,75047448,45,verified,,146448652
rancher/metrics-server:v0.4.1,158,8,44,72,9,17,8,179298217,6,verified,,25159526
cimg/ruby:3.3-browsers,981,172,634,77,5,69,24,169466204,10,verified,languages-and-frameworks/integration-and-delivery/security,1279699165
cimg/postgres:15.7-postgis,773,131,495,66,5,67,9,154610334,2,verified,databases-and-storage/integration-and-delivery/security,900669845
bitnami/kubectl:1.27-debian-12,82,47,0,3,2,0,30,3794918928,114,verified,developer-tools,105801161
balena/aarch64-supervisor:v12.11.35,230,9,53,58,18,92,0,298429942,3,verified,,24700636
bitnami/prometheus:2.53.0-debian-12-r0,56,34,5,1,1,0,15,52920530,217,verified,integration-and-delivery/monitoring-and-observability/security,99713161
amazon/aws-otel-collector:v0.37.2,19,4,7,6,0,0,2,141790666,10,verified,integration-and-delivery/monitoring-and-observability,37166703
amazon/aws-efs-csi-driver:release-2.0,33,7,6,8,1,5,6,922676599,4,verified,,79825083
portainer/portainer-ce:2.20.3-alpine,26,4,10,4,0,1,7,1114967683,2277,verified,integration-and-delivery/monitoring-and-observability/networking,96175106
atlassian/pipelines-auth-proxy:prod,182,3,36,41,11,91,0,72766279,1,verified,integration-and-delivery/security,7739539
rancher/agent:v1.2.10,1013,384,509,27,0,93,0,105333591,87,verified,integration-and-delivery/monitoring-and-observability/networking,88254431
grafana/grafana-image-renderer:master-d3165a1,61,29,20,7,2,1,2,231813856,25,verified,integration-and-delivery/monitoring-and-observability,397449187
percona/percona-xtradb-cluster-operator:1.14.0-pxc8.0-backup-pxb8.0.35,109,37,43,10,3,0,16,2524718822,16,verified,,172759865
rancher/mirrored-coredns-coredns:1.11.1-amd64,38,4,16,8,0,1,9,122891696,0,verified,,18175567
atlassian/default-image:4.20230726,855,170,544,99,9,22,11,66274502,82,verified,,404061015
atlassian/pipelines-auth-proxy:stg,182,3,36,41,11,91,0,72766279,1,verified,integration-and-delivery/security,7739539
bitnami/wordpress:6-debian-12,151,86,9,5,1,1,49,97796861,254,verified,content-management-system,213374080
amazon/aws-xray-daemon:3.3.11,36,6,17,8,0,3,2,1180111609,34,verified,monitoring-and-observability,56478466
bitnami/mongodb:7.0.11-debian-12-r0,74,42,2,1,1,0,28,1692607955,251,verified,databases-and-storage/integration-and-delivery/internet-of-things,250689073
hashicorp/terraform:1.9.0-beta1,10,4,3,0,0,0,3,432873555,475,verified,developer-tools,36539532
rancher/klipper-helm:v0.8.4-build20240523-amd64,130,3,59,49,3,16,0,72854955,2,verified,,94407034
grafana/promtail:main-5a357ea-amd64,61,36,5,1,1,1,17,1952268710,161,verified,,62079455
circleci/redis:6.0-alpine3.15,53,3,16,7,2,23,2,208782036,17,verified,,10544321
circleci/ruby:latest-node-browsers-legacy,2638,334,1526,502,40,46,190,366173496,78,verified,,1153361536
newrelic/infrastructure-bundle:nightly,15,5,7,1,0,1,1,3151778042,11,verified,,186972064
bitnami/cassandra:4.1.5-debian-12-r0,91,38,10,12,1,2,28,68757953,51,verified,data-science/databases-and-storage/internet-of-things,381498973
atlassian/pipelines-docker-daemon:prod-stable,258,9,58,82,11,98,0,87641738,5,verified,integration-and-delivery/operating-systems/security,78637805
hashicorp/consul:1.18.2,16,7,7,0,0,1,1,61229797,66,verified,,78404607
