Package,Count
linux-libc-dev@6.1.27-1,1345
linux-libc-dev@5.10.191-1,1133
pkg:rpm/redhatlinux/kernel@5.14.0-427.20.1.el9_4?os_name=redhatlinux&os_version=9,1088
kernel-headers@5.14.0-427.20.1.el9_4,1074
linux-libc-dev@6.1.90-1,910
linux-libc-dev@4.19.304-1,868
linux-libc-dev@5.10.218-1,677
linux-libc-dev@5.10.216-1,599
lib64bpf0,420
lib64bpf1,376
pkg:deb/ubuntu/mysql-8.0@8.0.23-0ubuntu0.20.04.1?os_distro=focal&os_name=ubuntu&os_version=20.04,337
libmysqlclient21@8.0.23-0ubuntu0.20.04.1,337
bullseye,226
pkg:deb/ubuntu/linux@5.15.0-107.117?os_distro=jammy&os_name=ubuntu&os_version=22.04,226
linux-libc-dev@5.15.0-107.117,226
libmysqlclient20,203
2.20.51.0.2-5.48.el6@10.1,190
binutils@2.20.51.0.2-5.48.el6_10.1,190
pkg:deb/ubuntu/linux@5.4.0-182.202?os_distro=focal&os_name=ubuntu&os_version=20.04,175
linux-libc-dev@5.4.0-182.202,175
2.27-44.base.el7@9.1,169
binutils@2.27-44.base.el7_9.1,169
mysql-common,167
bookworm,151
vim-minimal,133
vim-runtime@2:8.1.2269-1ubuntu5,125
pkg:deb/ubuntu/vim@2:8.1.2269-1ubuntu5?os_distro=focal&os_name=ubuntu&os_version=20.04,125
vim-common@2:8.1.2269-1ubuntu5,125
xxd@2:8.1.2269-1ubuntu5,125
9.1.111-1.mga9,103
vim-minimal@2:8.2.2637-20.el9_1,103
8.2.2637-20.el9@1,103
8.1.2136-1.mga7,98
7.4.629-8.el7@9,98
vim-minimal@2:7.4.629-8.el7_9,98
hdf5-helpers,95
libhdf5-dev,95
vim-minimal@2:7.4.629-5.el6_10.2,94
7.4.629-5.el6@10.2,94
pkg:deb/ubuntu/linux@6.5.0-41.41?os_distro=mantic&os_name=ubuntu&os_version=23.10,90
pkg:deb/debian/binutils@2.31.1-16?os_distro=buster&os_name=debian&os_version=10,90
binutils-common@2.31.1-16,89
libbinutils@2.31.1-16,89
binutils-x86-64-linux-gnu@2.31.1-16,89
linux-libc-dev@6.5.0-41.41,89
buster,87
pkg:deb/ubuntu/linux@6.8.0-35.35?os_distro=noble&os_name=ubuntu&os_version=24.04,85
github.com/golang/go@1.11.1,82
libhdf5-103-1t64,81
libhdf5-hl-100t64,81
github.com/golang/go@1.11.5,79
linux-libc-dev@6.8.0-35.35,77
