Package,Count
kernel-headers@3.10.0-957.1.3.el7,1820
kernel-headers@3.10.0-1062.4.1.el7,1766
linux-libc-dev@4.19.181-1,1534
linux-libc-dev@4.19.194-3,1432
linux-libc-dev@4.19.208-1,1329
stretch,1282
linux-tools-common,1118
linux-tools-4.4.0-159-generic,1112
linux-tools-4.4.0-142-generic,1112
linux-libc-dev@6.1.90-1,908
linux-libc-dev@4.19.304-1,867
linux-tools-4.15.0-112-generic,580
linux-tools-4.15.0-109-generic,580
linux-libc-dev@4.9.168-1+deb9u5,421
linux-libc-dev@5.15.0-87.97,415
pkg:deb/ubuntu/linux@5.15.0-87.97?os_distro=jammy&os_name=ubuntu&os_version=22.04,415
linux-tools-4.15.0-109@4.15.0-109.110,398
pkg:deb/ubuntu/linux@4.15.0-109.110?os_distro=bionic&os_name=ubuntu&os_version=18.04,398
linux-tools-common@4.15.0-109.110,398
linux-tools-4.15.0-109-generic@4.15.0-109.110,398
pkg:deb/ubuntu/linux@4.15.0-112.113?os_distro=bionic&os_name=ubuntu&os_version=18.04,394
linux-tools-4.15.0-112-generic@4.15.0-112.113,394
linux-tools-4.15.0-112@4.15.0-112.113,394
linux-tools-common@4.15.0-112.113,394
pkg:rpm/centos/kernel@3.10.0-957.1.3.el7?os_name=centos&os_version=7,372
pkg:deb/ubuntu/linux@5.15.0-100.110?os_distro=jammy&os_name=ubuntu&os_version=22.04,369
linux-libc-dev@5.15.0-100.110,369
libmariadbclient18,335
pkg:rpm/centos/kernel@3.10.0-1062.4.1.el7?os_name=centos&os_version=7,318
linux-tools-common@4.4.0-142.168,304
pkg:deb/ubuntu/linux@4.4.0-142.168?os_distro=xenial&os_name=ubuntu&os_version=16.04,304
linux-tools-4.4.0-142-generic@4.4.0-142.168,304
linux-tools-4.4.0-142@4.4.0-142.168,304
linux-libc-dev@6.8.0-31.31,302
pkg:deb/ubuntu/linux@6.8.0-31.31?os_distro=noble&os_name=ubuntu&os_version=24.04,302
jammy,277
pkg:deb/ubuntu/linux@4.15.0-144.148?os_distro=bionic&os_name=ubuntu&os_version=18.04,259
linux-libc-dev@4.15.0-144.148,259
libmagickcore-6.q16-3@8:6.9.7.4+dfsg-11+deb9u7,256
linux-tools-common@4.4.0-159.187,225
linux-tools-4.4.0-159-generic@4.4.0-159.187,225
linux-tools-4.4.0-159@4.4.0-159.187,225
pkg:deb/ubuntu/linux@4.4.0-159.187?os_distro=xenial&os_name=ubuntu&os_version=16.04,225
pkg:deb/ubuntu/linux@5.15.0-107.117?os_distro=jammy&os_name=ubuntu&os_version=22.04,222
linux-libc-dev@5.15.0-107.117,222
pkg:deb/ubuntu/linux@5.4.0-176.196?os_distro=focal&os_name=ubuntu&os_version=20.04,217
linux-libc-dev@5.4.0-176.196,217
bullseye,206
binutils@2.26.1-1ubuntu1~16.04.4,175
openjdk-8-jre-headless@8u131-b11-2ubuntu1.16.04.2,173
2.27-41.base.el7@7.1,170
binutils@2.27-34.base.el7,167
binutils@2.27-41.base.el7_7.1,167
vim@2:8.2.2434-3+deb11u1,163
vim-runtime@2:8.2.2434-3+deb11u1,163
xxd@2:8.2.2434-3+deb11u1,163
vim-tiny@2:8.2.2434-3+deb11u1,163
vim-common@2:8.2.2434-3+deb11u1,163
binutils@2.28-5,155
bookworm,147
libmagickwand-6.q16-dev,143
libmagickwand-dev,143
libmagickcore-6.q16-dev,143
libmagickcore-6-arch-config,143
libmagickwand-6-headers,143
imagemagick-6.q16,143
libmagickcore-6-headers,143
imagemagick-6-common,143
libmagickwand-6.q16-3,141
libmagickcore-6.q16-3-extra,141
pkg:deb/debian/vim@2:8.2.2434-3%2Bdeb11u1?os_distro=bullseye&os_name=debian&os_version=11,132
imagemagick@8:6.9.7.4+dfsg-11+deb9u7,131
libmagickcore-6-headers@8:6.9.7.4+dfsg-11+deb9u7,131
libmagickwand-6.q16-3@8:6.9.7.4+dfsg-11+deb9u7,131
