Package,Count
linux-libc-dev@5.10.70-1,1658
linux-libc-dev@4.19.208-1,1329
pkg:rpm/redhatlinux/kernel@5.14.0-427.20.1.el9_4?os_name=redhatlinux&os_version=9,1069
pkg:rpm/redhatlinux/kernel@5.14.0-427.18.1.el9_4?os_name=redhatlinux&os_version=9,1069
kernel-headers@5.14.0-427.18.1.el9_4,1066
linux-libc-dev@5.10.205-2,1001
linux-libc-dev@6.1.90-1,908
mysql-common,572
mysql-client-5.5,572
mysql-client-core-5.5,572
mysql-server-core-5.5,572
libmysqlclient18,572
mysql-server-5.5,572
linux-libc-dev@5.10.218-1,565
stretch,540
pkg:deb/ubuntu/linux@5.15.0-78.85?os_distro=jammy&os_name=ubuntu&os_version=22.04,495
linux-libc-dev@5.15.0-78.85,494
pkg:deb/ubuntu/linux@5.15.0-83.92?os_distro=jammy&os_name=ubuntu&os_version=22.04,446
linux-libc-dev@5.15.0-83.92,445
pkg:deb/ubuntu/linux@5.15.0-91.101?os_distro=jammy&os_name=ubuntu&os_version=22.04,398
linux-libc-dev@5.15.0-91.101,398
linux-libc-dev@5.15.0-92.102,392
pkg:deb/ubuntu/linux@5.15.0-92.102?os_distro=jammy&os_name=ubuntu&os_version=22.04,392
linux-libc-dev@5.15.0-94.104,382
pkg:deb/ubuntu/linux@5.15.0-94.104?os_distro=jammy&os_name=ubuntu&os_version=22.04,382
linux-libc-dev@5.15.0-97.107,378
pkg:deb/ubuntu/linux@5.15.0-97.107?os_distro=jammy&os_name=ubuntu&os_version=22.04,378
bullseye,333
mariadb-common,330
libmariadb-dev-compat,330
libmariadb3,330
linux-libc-dev@5.15.0-105.115,316
pkg:deb/ubuntu/linux@5.15.0-105.115?os_distro=jammy&os_name=ubuntu&os_version=22.04,316
buster,236
linux-libc-dev@5.15.0-107.117,222
pkg:deb/ubuntu/linux@5.15.0-107.117?os_distro=jammy&os_name=ubuntu&os_version=22.04,222
linux-libc-dev@5.4.0-177.197,212
pkg:deb/ubuntu/linux@5.4.0-177.197?os_distro=focal&os_name=ubuntu&os_version=20.04,212
vim-runtime@2:8.2.2434-3+deb11u1,163
xxd@2:8.2.2434-3+deb11u1,163
vim-common@2:8.2.2434-3+deb11u1,163
vim@2:8.2.2434-3+deb11u1,163
pkg:deb/ubuntu/linux@5.4.0-182.202?os_distro=focal&os_name=ubuntu&os_version=20.04,160
linux-libc-dev@5.4.0-182.202,160
pkg:deb/ubuntu/tcpdump@4.7.4-1ubuntu1?os_distro=xenial&os_name=ubuntu&os_version=16.04,159
